Range,Azimuth,Polar
  0.7461,  0.0000, 81.4500,256 
  0.7461,  0.0000, 81.6750,256 
  0.7461,  0.0000, 81.9000,256 
  0.7461,  0.0000, 82.1250,256 
  0.7461,  0.0000, 82.3500,256 
  0.7461,  0.0000, 82.5750,256 
  0.7461,  0.0000, 82.8000,256 
  0.7266,  0.0000, 83.0250,256 
  0.7461,  0.0000, 83.2500,256 
  0.7500,  0.0000, 83.4750,256 
  0.7500,  0.0000, 83.7000,256 
  0.7227,  0.0000, 83.9250,256 
  0.7500,  0.0000, 84.1500,256 
  0.7461,  0.0000, 84.3750,256 
  0.7500,  0.0000, 84.6000,256 
  0.7500,  0.0000, 84.8250,256 
  0.7500,  0.0000, 85.0500,256 
  0.7500,  0.0000, 85.2750,256 
  0.7266,  0.0000, 85.5000,256 
  0.7500,  0.0000, 85.7250,256 
  0.7500,  0.0000, 85.9500,256 
  0.7266,  0.0000, 86.1750,256 
  0.7266,  0.0000, 86.4000,256 
  0.7500,  0.0000, 86.6250,256 
  0.7539,  0.0000, 86.8500,256 
  0.7305,  0.0000, 87.0750,256 
  0.7500,  0.0000, 87.3000,256 
  0.7266,  0.0000, 87.5250,256 
  0.7305,  0.0000, 87.7500,256 
  0.7305,  0.0000, 87.9750,256 
  0.7539,  0.0000, 88.2000,256 
  0.7344,  0.0000, 88.4250,256 
  0.7539,  0.0000, 88.6500,256 
  0.7305,  0.0000, 88.8750,256 
  0.7539,  0.0000, 89.1000,256 
  0.7539,  0.0000, 89.3250,256 
  0.7344,  0.0000, 89.5500,256 
  0.7344,  0.0000, 89.7750,256 
  0.7578,  0.0000, 90.0000,256 
  0.7344,  0.0000, 90.2250,256 
  0.7344,  0.0000, 90.4500,256 
  0.7344,  0.0000, 90.6750,256 
  0.7383,  0.0000, 90.9000,256 
  0.7578,  0.0000, 91.1250,256 
  0.7383,  0.0000, 91.3500,256 
  0.7383,  0.0000, 91.5750,256 
  0.7383,  0.0000, 91.8000,256 
  0.7578,  0.0000, 92.0250,256 
  0.7344,  0.0000, 92.2500,256 
  0.7383,  0.0000, 92.4750,256 
  0.7344,  0.0000, 92.7000,256 
  0.7578,  0.0000, 92.9250,256 
  0.7578,  0.0000, 93.1500,256 
  0.7344,  0.0000, 93.3750,256 
  0.7344,  0.0000, 93.6000,256 
  0.7344,  0.0000, 93.8250,256 
  0.7344,  0.0000, 94.0500,256 
  0.7305,  0.0000, 94.2750,256 
  0.7539,  0.0000, 94.5000,256 
  0.7344,  0.0000, 94.7250,256 
  0.7148,  0.0000, 94.9500,256 
  0.7344,  0.0000, 95.1750,256 
  0.7539,  0.0000, 95.4000,256 
  0.7305,  0.0000, 95.6250,256 
  0.7344,  0.0000, 95.8500,256 
  0.7344,  0.0000, 96.0750,256 
  0.7305,  0.0000, 96.3000,256 
  0.7578,  0.0000, 96.5250,256 
  0.7539,  0.0000, 96.7500,256 
  0.7305,  0.0000, 96.9750,256 
  0.7305,  0.0000, 97.2000,256 
  0.7539,  0.0000, 97.4250,256 
  0.7539,  0.0000, 97.6500,256 
  0.7344,  0.0000, 97.8750,256 
  0.7305,  0.0000, 98.1000,256 
  0.7500,  0.0000, 98.3250,256 
  0.7539,  0.0000, 98.5500,256 
  0.7500,  0.0000, 98.7750,256 
  0.7539,  0.0000, 99.0000,256 
  0.7500,  0.0000, 99.2250,256 
  0.7500,  0.0000, 99.4500,256 
  0.7500,  0.0000, 99.6750,256 
  0.7266,  0.0000, 99.9000,256 
  0.7500,  0.0000,100.1250,256 
  0.7500,  0.0000,100.3500,256 
  0.7500,  0.0000,100.5750,256 
  0.7266,  0.0000,100.8000,256 
  0.7500,  0.0000,101.0250,256 
  0.7500,  0.0000,101.2500,256 
  0.7266,  0.0000,101.4750,256 
  0.7461,  0.0000,101.7000,256 
  0.7461,  0.0000,101.9250,256 
  0.7266,  0.0000,102.1500,256 
  0.7500,  0.0000,102.3750,256 
  0.7461,  0.0000,102.6000,256 
  0.7461,  0.0000,102.8250,256 
  0.7461,  0.0000,103.0500,256 
  0.7461,  0.0000,103.2750,256 
  0.7461,  0.0000,103.5000,256 
  0.7227,  0.0000,103.7250,256 
  0.7422,  0.0000,103.9500,256 
  0.7461,  0.0000,104.1750,256 
  0.7500,  0.0000,104.4000,256 
  0.7461,  0.0000,104.6250,256 
  0.7461,  0.0000,104.8500,256 
  0.7461,  0.0000,105.0750,256 
  0.7461,  0.0000,105.3000,256 
  0.7656,  0.0000,105.5250,256 
  0.7461,  0.0000,105.7500,256 
  0.7617,  0.0000,105.9750,256 
  0.7461,  0.0000,106.2000,256 
  0.7617,  0.0000,106.4250,256 
  0.7461,  0.0000,106.6500,256 
  0.7461,  0.0000,106.8750,256 
  0.7422,  0.0000,107.1000,256 
  0.7461,  0.0000,107.3250,256 
  0.7617,  0.0000,107.5500,256 
  0.7422,  0.0000,107.7750,256 
  0.7617,  0.0000,108.0000,256 
  0.7422,  0.0000,108.2250,256 
  0.7422,  0.0000,108.4500,256 
  0.7617,  0.0000,108.6750,256 
  0.7617,  0.0000,108.9000,256 
  0.7422,  0.0000,109.1250,256 
  0.7969,  0.0000,109.3500,256 
  0.7500,  0.0000,109.5750,256 
  0.7617,  0.0000,109.8000,256 
